Name,Position,Birthdate,Foot,Height,Nationality,Club,Year,Path,ID,Birth_Day,Birth_Month,Birth_Year
Haythem Salhi,Défenseur central,28 janv. 1996 (29),,"1,86m",Tunisie,eo sidi bouzid,2024,/haythem-salhi/profil/spieler/857040,857040,28,janv.,1996
Laroussi Bargougui,Défenseur central,21 août 1985 (39),right,"1,82m",Tunisie,eo sidi bouzid,2024,/laroussi-bargougui/profil/spieler/251294,251294,21,août,1985
Mohamed Amine Laajimi,Milieu défensif,7 mars 2002 (22),right,,Tunisie,club africain,2024,/mohamed-amine-laajimi/marktwertverlauf/spieler/852726,852726,7,mars,2002
Mohamed Sadok Mahmoud,Milieu défensif,10 nov. 2005 (19),,,Tunisie,club africain,2024,/mohamed-sadok-mahmoud/profil/spieler/1266418,1266418,10,nov.,2005
Moataz Zemzemi,Milieu central,7 août 1999 (25),left,"1,86m",Tunisie,club africain,2024,/moataz-zemzemi/marktwertverlauf/spieler/422893,422893,7,août,1999
Ghaith Sghaier,Milieu offensif,1 juin 1995 (29),right,,Tunisie,club africain,2024,/ghaith-sghaier/marktwertverlauf/spieler/464747,464747,1,juin,1995
Hamza Khadhraoui,Ailier gauche,16 janv. 1999 (26),right,"1,76m",Tunisie,club africain,2024,/hamza-khadhraoui/marktwertverlauf/spieler/569961,569961,16,janv.,1999
Bassem Srarfi,Ailier droit,25 juin 1997 (27),left,"1,76m",Tunisie,club africain,2024,/bassem-srarfi/marktwertverlauf/spieler/401836,401836,25,juin,1997
Adem Garreb,Ailier droit,22 mai 2003 (21),left,"1,75m",Tunisie,club africain,2024,/adem-garreb/marktwertverlauf/spieler/847549,847549,22,mai,2003
Rached Arfaoui,Ailier droit,7 mars 1996 (28),right,"1,74m",Tunisie,club africain,2024,/rached-arfaoui/marktwertverlauf/spieler/295377,295377,7,mars,1996
Hamdi Labidi,Avant-centre,9 juin 2002 (22),right,"1,77m",Tunisie,club africain,2024,/hamdi-labidi/marktwertverlauf/spieler/844460,844460,9,juin,2002
Ali Ajmni,Milieu central,- (-),,,Tunisie,egs gafsa,2024,/ali-ajmni/marktwertverlauf/spieler/1338585,1338585,,,
Heythem Mhamedi,Milieu central,7 févr. 1989 (36),right,"1,85m",Tunisie,egs gafsa,2024,/heythem-mhamedi/marktwertverlauf/spieler/159489,159489,7,févr.,1989
Yahia Hassen,Milieu central,1 janv. 2005 (20),,,Tunisie,egs gafsa,2024,/yahia-hassen/profil/spieler/1219398,1219398,1,janv.,2005
Anouar Jouini,Milieu offensif,25 août 1997 (27),right,,Tunisie,egs gafsa,2024,/anouar-jouini/marktwertverlauf/spieler/754284,754284,25,août,1997
Yasser Taleb,Milieu offensif,1 janv. 2001 (24),,,Tunisie,egs gafsa,2024,/yasser-taleb/marktwertverlauf/spieler/1340239,1340239,1,janv.,2001
Mohamed Yousfi,Milieu offensif,14 oct. 2002 (22),,,Tunisie,egs gafsa,2024,/mohamed-yousfi/profil/spieler/1077960,1077960,14,oct.,2002
Ilyes Nsib,Milieu offensif,- (-),,,Tunisie,egs gafsa,2024,/ilyes-nsib/profil/spieler/1361564,1361564,,,
Ahmed Khalil,Milieu défensif,21 déc. 1994 (30),right,"1,87m",Tunisie,club africain,2024,/ahmed-khalil/marktwertverlauf/spieler/290993,290993,21,déc.,1994
Mohamed Aziz Ghrissi,Arrière droit,6 janv. 2003 (22),right,"1,83m",Tunisie,club africain,2024,/mohamed-aziz-ghrissi/marktwertverlauf/spieler/1143691,1143691,6,janv.,2003
Louay Brahmi,Défense,28 nov. 1998 (26),,,Tunisie,eo sidi bouzid,2024,/louay-brahmi/profil/spieler/1069425,1069425,28,nov.,1998
Moneem Hosni,Défense,27 janv. 1991 (34),,,Tunisie,eo sidi bouzid,2024,/moneem-hosni/profil/spieler/857043,857043,27,janv.,1991
Atef Kadri,Défense,7 avr. 2003 (21),,,Tunisie,eo sidi bouzid,2024,/atef-kadri/profil/spieler/1141774,1141774,7,avr.,2003
Wael Salhi,Défense,22 janv. 2004 (21),,,Tunisie,eo sidi bouzid,2024,/wael-salhi/profil/spieler/1100833,1100833,22,janv.,2004
Iheb Issaoui,Défense,12 sept. 1997 (27),,,Tunisie,eo sidi bouzid,2024,/iheb-issaoui/profil/spieler/1100831,1100831,12,sept.,1997
Seif Salhi,Gardien de but,- (-),,,Tunisie,eo sidi bouzid,2024,/seif-salhi/profil/spieler/1113869,1113869,,,
Charfeddine Nasreli,Gardien de but,27 avr. 2003 (21),right,,Tunisie,eo sidi bouzid,2024,/charfeddine-nasreli/profil/spieler/1004066,1004066,27,avr.,2003
Mohamed Ali Ben Chaabane,Gardien de but,- (-),,,Tunisie,eo sidi bouzid,2024,/mohamed-ali-ben-chaabane/profil/spieler/857042,857042,,,
Alaeddine Brahmi,Gardien de but,28 févr. 1993 (31),,,Tunisie,eo sidi bouzid,2024,/alaeddine-brahmi/profil/spieler/1078296,1078296,28,févr.,1993
Oussama Sdouga,Gardien de but,14 mai 1992 (32),right,"1,85m",Tunisie,eo sidi bouzid,2024,/oussama-sdouga/profil/spieler/223918,223918,14,mai,1992
Ghaith Yeferni,Gardien de but,20 mai 1998 (26),,"1,86m",Tunisie,club africain,2024,/ghaith-yeferni/marktwertverlauf/spieler/478147,478147,20,mai,1998
Ghaith Zaalouni,Arrière droit,6 mai 2002 (22),right,"1,81m",Tunisie,club africain,2024,/ghaith-zaalouni/marktwertverlauf/spieler/844473,844473,6,mai,2002
Wassim Maghzaoui,Gardien de but,3 janv. 2004 (21),right,"1,88m",Tunisie,club africain,2024,/wassim-maghzaoui/profil/spieler/1192867,1192867,3,janv.,2004
Hamza Ben Abda,Défenseur central,14 mars 1995 (29),left,"1,89m",Tunisie,club africain,2024,/hamza-ben-abda/marktwertverlauf/spieler/454494,454494,14,mars,1995
Yassine Bouabid,Défenseur central,8 mai 1999 (25),,"1,85m",Tunisie,club africain,2024,/yassine-bouabid/marktwertverlauf/spieler/509325,509325,8,mai,1999
Rami Bedoui,Défenseur central,19 janv. 1990 (35),right,"1,87m",Tunisie,club africain,2024,/rami-bedoui/marktwertverlauf/spieler/153124,153124,19,janv.,1990
Makrem Sghaier,Défenseur central,13 avr. 2004 (20),,,Tunisie,club africain,2024,/makrem-sghaier/profil/spieler/1065237,1065237,13,avr.,2004
Oussema Shili,Arrière gauche,30 nov. 1996 (28),left,"1,85m",Tunisie,club africain,2024,/oussema-shili/marktwertverlauf/spieler/842994,842994,30,nov.,1996
Wissam Jerbi,Défense,- (-),,,Tunisie,js kairouanaise,2024,/wissam-jerbi/profil/spieler/1258462,1258462,,,
Khaled Saidani,Gardien de but,20 févr. 1997 (27),,,Tunisie,js kairouanaise,2024,/khaled-saidani/profil/spieler/654544,654544,20,févr.,1997
Zied Soussi,Avant-centre,2 juil. 1993 (31),left,,Tunisie,stade gabesien,2024,/zied-soussi/profil/spieler/305704,305704,2,juil.,1993
Hamdi Chairet,Gardien de but,17 sept. 1999 (25),,,Tunisie,stade gabesien,2024,/hamdi-chairet/profil/spieler/628190,628190,17,sept.,1999
Alaeddine Sakrani,Défenseur central,13 août 1997 (27),,,Tunisie,stade gabesien,2024,/alaeddine-sakrani/profil/spieler/415810,415810,13,août,1997
Bassem Rhouma,Défenseur central,22 déc. 1995 (29),right,,Tunisie,stade gabesien,2024,/bassem-rhouma/profil/spieler/555397,555397,22,déc.,1995
Ahmed Tangour,Défenseur central,24 févr. 1992 (32),right,,Tunisie,stade gabesien,2024,/ahmed-tangour/profil/spieler/558555,558555,24,févr.,1992
Issam Oudi,Défenseur central,30 juil. 1997 (27),,,Tunisie,stade gabesien,2024,/issam-oudi/profil/spieler/563904,563904,30,juil.,1997
Adib Oudi,Arrière gauche,1 janv. 2003 (22),left,,Tunisie,stade gabesien,2024,/adib-oudi/profil/spieler/898080,898080,1,janv.,2003
Iheb Jemai,Milieu,- (-),,,Tunisie,stade gabesien,2024,/iheb-jemai/profil/spieler/639165,639165,,,
Wael Ferjani,Attaquant,16 juil. 1994 (30),,,Tunisie,avenir sportif de gabes,2024,/wael-ferjani/marktwertverlauf/spieler/1264582,1264582,16,juil.,1994
Mouhib Selmi,Avant-centre,15 janv. 2003 (22),right,"1,82m",Tunisie,avenir sportif de gabes,2024,/mouhib-selmi/marktwertverlauf/spieler/782600,782600,15,janv.,2003
Oussama Naffati,Avant-centre,27 janv. 2000 (25),,,Tunisie,avenir sportif de gabes,2024,/oussama-naffati/marktwertverlauf/spieler/1266989,1266989,27,janv.,2000
Abdelkader Mechri,Ailier droit,27 nov. 2005 (19),left,,Tunisie,avenir sportif de gabes,2024,/abdelkader-mechri/profil/spieler/1266991,1266991,27,nov.,2005
Fedi Bouali Slimane,Ailier droit,14 juil. 2001 (23),right,"1,80m",Tunisie,avenir sportif de gabes,2024,/fedi-bouali-slimane/marktwertverlauf/spieler/898309,898309,14,juil.,2001
Ameur Jouini,Ailier gauche,20 janv. 2003 (22),right,,Tunisie,avenir sportif de gabes,2024,/ameur-jouini/marktwertverlauf/spieler/1140943,1140943,20,janv.,2003
Hamza Abdelkarim,Ailier gauche,16 janv. 2001 (24),,,Tunisie,avenir sportif de gabes,2024,/hamza-abdelkarim/marktwertverlauf/spieler/1292926,1292926,16,janv.,2001
Aziz Fellah,Milieu offensif,9 mai 2002 (22),left,"1,75m",Tunisie,avenir sportif de gabes,2024,/aziz-fellah/marktwertverlauf/spieler/797780,797780,9,mai,2002
Mohamed Ali Saidi,Milieu offensif,30 janv. 1996 (29),,,Tunisie,avenir sportif de gabes,2024,/mohamed-ali-saidi/marktwertverlauf/spieler/1310466,1310466,30,janv.,1996
Adem Boulila,Milieu offensif,31 déc. 2000 (24),,,Tunisie,avenir sportif de gabes,2024,/adem-boulila/marktwertverlauf/spieler/1069674,1069674,31,déc.,2000
Houcine Mansour,Milieu offensif,1 janv. 1995 (30),left,"1,79m",Tunisie,avenir sportif de gabes,2024,/houcine-mansour/marktwertverlauf/spieler/417860,417860,1,janv.,1995
Mehdi Nasfi,Milieu central,23 mars 2002 (22),right,,Tunisie,avenir sportif de gabes,2024,/mehdi-nasfi/profil/spieler/942135,942135,23,mars,2002
Oussama Gnounou,Milieu défensif,6 févr. 2004 (21),right,"1,66m",Tunisie,avenir sportif de gabes,2024,/oussama-gnounou/profil/spieler/1359352,1359352,6,févr.,2004
Hedi Trabelsi,Milieu défensif,20 juin 2008 (16),right,,Tunisie,avenir sportif de gabes,2024,/hedi-trabelsi/profil/spieler/1356805,1356805,20,juin,2008
Yassine Dinari,Gardien de but,24 mars 1999 (25),,,Tunisie,stade gabesien,2024,/yassine-dinari/profil/spieler/598054,598054,24,mars,1999
Houssem Mkhinini,Avant-centre,31 janv. 1997 (28),,,Tunisie,cs hammam lif,2024,/houssem-mkhinini/profil/spieler/663462,663462,31,janv.,1997
Abdellatif Ben Aicha,Milieu,10 déc. 2001 (23),,,Tunisie,cs hammam lif,2024,/abdellatif-ben-aicha/profil/spieler/1125479,1125479,10,déc.,2001
Karim El Bez,Centre-Forward,- (-),,,Tunisie,es beni khalled,2024,/karim-el-bez/profil/spieler/1021653,1021653,,,
Issam Saoudi,Gardien de but,20 févr. 1999 (25),,,Tunisie,cs hammam lif,2024,/issam-saoudi/profil/spieler/640759,640759,20,févr.,1999
Nasreddine Gouia,Gardien de but,29 sept. 1996 (28),,,Tunisie,cs hammam lif,2024,/nasreddine-gouia/profil/spieler/754265,754265,29,sept.,1996
Yassine Fatnassi,Gardien de but,- (-),,"1,89m",Tunisie,cs hammam lif,2024,/yassine-fatnassi/profil/spieler/1111736,1111736,,,
Iheb Dridi,Défense,26 mars 2000 (24),,,Tunisie,cs hammam lif,2024,/iheb-dridi/profil/spieler/956861,956861,26,mars,2000
Mohamed Rayane Hachicha,Défense,26 févr. 2002 (22),,,Tunisie,cs hammam lif,2024,/mohamed-rayane-hachicha/profil/spieler/956862,956862,26,févr.,2002
Mohamed Aouidad,Milieu,22 sept. 1997 (27),,,Tunisie,cs hammam lif,2024,/mohamed-aouidad/profil/spieler/639166,639166,22,sept.,1997
Hamza Ghalleb,Milieu défensif,23 avr. 1997 (27),,,Tunisie,cs hammam lif,2024,/hamza-ghalleb/profil/spieler/857047,857047,23,avr.,1997
Seifallah Meskini,Milieu défensif,24 avr. 1993 (31),right,"1,84m",Tunisie,cs hammam lif,2024,/seifallah-meskini/profil/spieler/242488,242488,24,avr.,1993
Rabie Karouia,Deuxième attaquant,26 juin 2001 (23),right,"1,84m",Tunisie,cs hammam lif,2024,/rabie-karouia/profil/spieler/1111737,1111737,26,juin,2001
Alaa Hamdani,Milieu,18 mars 1999 (25),,,Tunisie,cs hammam lif,2024,/alaa-hamdani/profil/spieler/750508,750508,18,mars,1999
Mohamed Ben Tiba,Milieu,- (-),,,Tunisie,cs hammam lif,2024,/mohamed-ben-tiba/profil/spieler/1111738,1111738,,,
Abdallah Meskini,Milieu,- (-),,,Tunisie,cs hammam lif,2024,/abdallah-meskini/profil/spieler/1111739,1111739,,,
Ahmed Gharbi,Milieu central,21 sept. 1993 (31),right,,Tunisie,cs hammam lif,2024,/ahmed-gharbi/profil/spieler/244281,244281,21,sept.,1993
Chedly Kacem,Milieu central,9 avr. 1998 (26),right,"1,78m",Tunisie,cs hammam lif,2024,/chedly-kacem/profil/spieler/754274,754274,9,avr.,1998
Mouhab Aouina,Milieu offensif,3 août 1999 (25),,,Tunisie,cs hammam lif,2024,/mouhab-aouina/profil/spieler/596006,596006,3,août,1999
Iheb Hadj Khalifa,Milieu offensif,16 août 1997 (27),right,"1,87m",Tunisie,cs hammam lif,2024,/iheb-hadj-khalifa/profil/spieler/548856,548856,16,août,1997
Foued Khrayfi,Ailier droit,28 avr. 1991 (33),right,,Tunisie,cs hammam lif,2024,/foued-khrayfi/profil/spieler/177682,177682,28,avr.,1991
Salem Bizid,Ailier droit,1 janv. 2005 (20),,,Tunisie,cs hammam lif,2024,/salem-bizid/profil/spieler/1266981,1266981,1,janv.,2005
Ragheb Nacef,Ailier droit,19 oct. 1997 (27),right,"1,73m",Tunisie,cs hammam lif,2024,/ragheb-nacef/profil/spieler/565233,565233,19,oct.,1997
Khalil Gasmi,Milieu défensif,1 janv. 1990 (35),right,,Tunisie,avenir sportif de gabes,2024,/khalil-gasmi/marktwertverlauf/spieler/208159,208159,1,janv.,1990
Iheb Ben Amor,Milieu défensif,15 févr. 1998 (26),,,Tunisie,avenir sportif de gabes,2024,/iheb-ben-amor/marktwertverlauf/spieler/1292414,1292414,15,févr.,1998
Mansour Mrayhi,Avant-centre,12 oct. 1995 (29),right,"1,8m",Tunisie,stade gabesien,2024,/mansour-mrayhi/profil/spieler/896498,896498,12,oct.,1995
Seif Mhadhebi,Arrière droit,- (-),,,Tunisie,us tataouine,2024,/seif-mhadhebi/profil/spieler/1365048,1365048,,,
Bilel Mgannem,Arrière droit,1 janv. 2002 (23),,,Tunisie,us tataouine,2024,/bilel-mgannem/marktwertverlauf/spieler/1010646,1010646,1,janv.,2002
Hazem Mounadi,Arrière droit,21 oct. 2001 (23),,"1,78m",Tunisie,us tataouine,2024,/hazem-mounadi/marktwertverlauf/spieler/953571,953571,21,oct.,2001
Jasser Gherabi,Arrière gauche,20 sept. 2004 (20),,,Tunisie,us tataouine,2024,/jasser-gherabi/profil/spieler/1356781,1356781,20,sept.,2004
Helmi Ben Rhouma,Arrière gauche,- (-),left,"1,82m",Tunisie,us tataouine,2024,/helmi-ben-rhouma/marktwertverlauf/spieler/1345797,1345797,,,
Adem Guizani,Défenseur central,18 mai 2005 (19),,"1,93m",Tunisie,us tataouine,2024,/adem-guizani/profil/spieler/1233798,1233798,18,mai,2005
Mohamed Amine Naoui,Défenseur central,29 févr. 2004 (20),right,,Tunisie,us tataouine,2024,/mohamed-amine-naoui/marktwertverlauf/spieler/1218450,1218450,29,févr.,2004
Rami Affas,Défenseur central,- (-),right,"1,85m",Tunisie,us tataouine,2024,/rami-affas/marktwertverlauf/spieler/1113826,1113826,,,
Mohamed Jemai,Défenseur central,13 août 1996 (28),right,"1,89m",Tunisie,us tataouine,2024,/mohamed-jemai/marktwertverlauf/spieler/1176867,1176867,13,août,1996
Iheb Khefacha,Défenseur central,1 févr. 2001 (24),,,Tunisie,us tataouine,2024,/iheb-khefacha/marktwertverlauf/spieler/862464,862464,1,févr.,2001
Selim Rebai,Gardien de but,23 févr. 1991 (33),right,"1,89m",Tunisie,us tataouine,2024,/selim-rebai/profil/spieler/146265,146265,23,févr.,1991
Yassine Bguir,Gardien de but,27 janv. 2001 (24),,"1,86m",Tunisie,us tataouine,2024,/yassine-bguir/marktwertverlauf/spieler/692241,692241,27,janv.,2001
Ahmed Mida,Milieu défensif,15 mai 1988 (36),right,"1,85m",Tunisie,stade gabesien,2024,/ahmed-mida/profil/spieler/251723,251723,15,mai,1988
Khaireddine Meddaoui,Milieu,27 juin 2004 (20),right,"1,88m",Tunisie,stade gabesien,2024,/khaireddine-meddaoui/profil/spieler/1264545,1264545,27,juin,2004
Seddik Najjar,Milieu central,28 oct. 1999 (25),,"1,72m",Tunisie,stade gabesien,2024,/seddik-najjar/profil/spieler/1111751,1111751,28,oct.,1999
Jasser Gueblaoui,Milieu central,22 juil. 2003 (21),,,Tunisie,stade gabesien,2024,/jasser-gueblaoui/profil/spieler/1022879,1022879,22,juil.,2003
Chamseddine Ben Zine,Milieu offensif,5 juin 2001 (23),left,"1,88m",Tunisie,stade gabesien,2024,/chamseddine-ben-zine/profil/spieler/990004,990004,5,juin,2001
Mohamed Azabou,Ailier gauche,26 sept. 2001 (23),,,Tunisie,stade gabesien,2024,/mohamed-azabou/profil/spieler/1123375,1123375,26,sept.,2001
Khaled Boussaidi,Ailier droit,8 oct. 1997 (27),right,"1,79m",Tunisie,stade gabesien,2024,/khaled-boussaidi/marktwertverlauf/spieler/760684,760684,8,oct.,1997
Ayoub Jertila,Avant-centre,1 mars 1994 (30),right,,Tunisie,stade gabesien,2024,/ayoub-jertila/profil/spieler/263472,263472,1,mars,1994
Hamza Essid,Avant-centre,5 mars 1997 (27),,"1,81m",Tunisie,stade gabesien,2024,/hamza-essid/profil/spieler/845073,845073,5,mars,1997
Alaa Kortli,Milieu défensif,23 févr. 1998 (26),right,"1,76m",Tunisie,us tataouine,2024,/alaa-kortli/marktwertverlauf/spieler/1111119,1111119,23,févr.,1998
Alaa Rhouma,Milieu défensif,3 janv. 2004 (21),,,Tunisie,us tataouine,2024,/alaa-rhouma/profil/spieler/1365046,1365046,3,janv.,2004
Nour El Beji,Arrière droit,12 mai 2000 (24),,,Tunisie,avenir sportif de gabes,2024,/nour-el-beji/marktwertverlauf/spieler/981812,981812,12,mai,2000
Firas Ben Ammar,Arrière droit,22 mars 1998 (26),,,Tunisie,avenir sportif de gabes,2024,/firas-ben-ammar/marktwertverlauf/spieler/1292363,1292363,22,mars,1998
Rayane Yaakoubi,Arrière gauche,1 janv. 1997 (28),left,,Tunisie,avenir sportif de gabes,2024,/rayane-yaakoubi/marktwertverlauf/spieler/845059,845059,1,janv.,1997
Dhia Maatougui,Arrière gauche,18 août 2001 (23),,,Tunisie,avenir sportif de gabes,2024,/dhia-maatougui/marktwertverlauf/spieler/896357,896357,18,août,2001
Najed Helali,Arrière gauche,23 juil. 1998 (26),left,"1,81m",Tunisie,avenir sportif de gabes,2024,/najed-helali/marktwertverlauf/spieler/859526,859526,23,juil.,1998
Moatez Bidani,Défenseur central,1 janv. 2006 (19),,,Tunisie,avenir sportif de gabes,2024,/moatez-bidani/profil/spieler/1353546,1353546,1,janv.,2006
Montasser Ferchichi,Défenseur central,11 mars 1998 (26),,,Tunisie,avenir sportif de gabes,2024,/montasser-ferchichi/profil/spieler/645604,645604,11,mars,1998
Tajeddine Salem,Défenseur central,22 juin 2000 (24),,,Tunisie,avenir sportif de gabes,2024,/tajeddine-salem/marktwertverlauf/spieler/1292925,1292925,22,juin,2000
Hamza Ben Attig,Gardien de but,12 oct. 1998 (26),,,Tunisie,avenir sportif de gabes,2024,/hamza-ben-attig/profil/spieler/675104,675104,12,oct.,1998
Abdelkader Chouaya,Gardien de but,20 mai 1994 (30),right,,Tunisie,avenir sportif de gabes,2024,/abdelkader-chouaya/marktwertverlauf/spieler/248575,248575,20,mai,1994
Hichem Omar,Milieu défensif,- (-),,,Tunisie,us tataouine,2024,/hichem-omar/profil/spieler/1371319,1371319,,,
Hosni Guezmir,Avant-centre,1 janv. 1996 (29),,,Tunisie,us tataouine,2024,/hosni-guezmir/marktwertverlauf/spieler/1309338,1309338,1,janv.,1996
Wahid Timi,Avant-centre,- (-),right,,Tunisie,us tataouine,2024,/wahid-timi/marktwertverlauf/spieler/1309336,1309336,,,
Seifallah Gafsi,Ailier gauche,1 janv. 2003 (22),,,Tunisie,us tataouine,2024,/seifallah-gafsi/marktwertverlauf/spieler/1233774,1233774,1,janv.,2003
Nidhal Ben Salem,Ailier gauche,31 janv. 1996 (29),,,Tunisie,us tataouine,2024,/nidhal-ben-salem/marktwertverlauf/spieler/295383,295383,31,janv.,1996
Zied Ounalli,Ailier gauche,8 févr. 1994 (31),right,"1,75m",Tunisie,us tataouine,2024,/zied-ounalli/marktwertverlauf/spieler/215828,215828,8,févr.,1994
Hamza Hammami,Milieu central,21 juin 1997 (27),right,"1,73m",Tunisie,us tataouine,2024,/hamza-hammami/profil/spieler/562940,562940,21,juin,1997
Ghassen Khalfa,Milieu central,9 août 2002 (22),right,"1,75m",Tunisie,us tataouine,2024,/ghassen-khalfa/marktwertverlauf/spieler/848417,848417,9,août,2002
Mohamed Ali Hosni,Milieu central,13 janv. 1997 (28),,,Tunisie,us tataouine,2024,/mohamed-ali-hosni/marktwertverlauf/spieler/566085,566085,13,janv.,1997
Haythem Mbarek,Ailier gauche,26 avr. 1991 (33),right,"1,75m",Tunisie,egs gafsa,2024,/haythem-mbarek/marktwertverlauf/spieler/688440,688440,26,avr.,1991
Mohamed Aziz Ben Charnia,Arrière gauche,6 avr. 1998 (26),,"1,80m",Tunisie,js kairouanaise,2024,/mohamed-aziz-ben-charnia/profil/spieler/842988,842988,6,avr.,1998
Chouaieb Aroua,Midfielder,- (-),,,Tunisie,association sportive de djerba,2024,/chouaieb-aroua/profil/spieler/402230,402230,,,
Adem Abdessalem,Gardien de but,26 mars 1999 (25),,,Tunisie,avenir sportif rejiche,2024,/adem-abdessalem/profil/spieler/726157,726157,26,mars,1999
Ramzi Ben Rajeh,Defender,- (-),,,Tunisie,association sportive de djerba,2024,/ramzi-ben-rajeh/profil/spieler/750513,750513,,,
Mahmoud Reguii,Attaquant,1 juil. 1993 (31),,,Tunisie,la palme sportive tozeur,2024,/mahmoud-reguii/profil/spieler/565216,565216,1,juil.,1993
Salah Sahraoui,Attaquant,4 avr. 1985 (39),,,Tunisie,la palme sportive tozeur,2024,/salah-sahraoui/profil/spieler/565215,565215,4,avr.,1985
Hafedh Gharbi,Avant-centre,15 janv. 1988 (37),,,Tunisie,la palme sportive tozeur,2024,/hafedh-gharbi/profil/spieler/467133,467133,15,janv.,1988
Hamdi Gueblaoui,Milieu droit,25 mai 1992 (32),right,,Tunisie,la palme sportive tozeur,2024,/hamdi-gueblaoui/profil/spieler/298660,298660,25,mai,1992
Khalil Bouali,Milieu défensif,- (-),right,"1,84m",Tunisie,la palme sportive tozeur,2024,/khalil-bouali/profil/spieler/760682,760682,,,
Bilel Maamoun,Milieu,6 juin 1991 (33),,,Tunisie,la palme sportive tozeur,2024,/bilel-maamoun/profil/spieler/565223,565223,6,juin,1991
Ayoub Makni,Gardien de but,- (-),,,Tunisie,avenir sportif rejiche,2024,/ayoub-makni/profil/spieler/1111788,1111788,,,
Khalil Zaouali,Gardien de but,29 oct. 2003 (21),,,Tunisie,avenir sportif rejiche,2024,/khalil-zaouali/profil/spieler/1107024,1107024,29,oct.,2003
Ahmed Grayaa,Gardien de but,8 avr. 1998 (26),,,Tunisie,avenir sportif rejiche,2024,/ahmed-grayaa/profil/spieler/889695,889695,8,avr.,1998
Rostom Sioud,Gardien de but,11 juil. 1988 (36),,,Tunisie,avenir sportif rejiche,2024,/rostom-sioud/profil/spieler/844475,844475,11,juil.,1988
Mohamed Abdeddaiem,Striker,- (-),,,Tunisie,association sportive de djerba,2024,/mohamed-abdeddaiem/profil/spieler/375173,375173,,,
Imed Kefi,Gardien de but,18 avr. 1987 (37),,,Tunisie,olympique du kef,2024,/imed-kefi/profil/spieler/465960,465960,18,avr.,1987
Abderrahmen Bouafif,Défenseur central,6 janv. 1992 (33),right,"1,81m",Tunisie,olympique du kef,2024,/abderrahmen-bouafif/profil/spieler/760657,760657,6,janv.,1992
Ahmed Rahali,Arrière gauche,12 avr. 1992 (32),left,,Tunisie,olympique du kef,2024,/ahmed-rahali/profil/spieler/251727,251727,12,avr.,1992
Khaled Ouerghi,Milieu,4 mars 1995 (29),,,Tunisie,olympique du kef,2024,/khaled-ouerghi/profil/spieler/406117,406117,4,mars,1995
Ahmed Aroui,Milieu,22 sept. 2001 (23),,,Tunisie,avenir sportif rejiche,2024,/ahmed-aroui/profil/spieler/873659,873659,22,sept.,2001
Mohamed Salah Bibani,Midfielder,- (-),,,Tunisie,association sportive de djerba,2024,/mohamed-salah-bibani/profil/spieler/463923,463923,,,
Mohamed Aziz Ben Abdallah,Défense,4 févr. 2003 (22),,,Tunisie,avenir sportif rejiche,2024,/mohamed-aziz-ben-abdallah/profil/spieler/1106716,1106716,4,févr.,2003
Yaakoub Tej,Défense,10 janv. 2003 (22),,,Tunisie,avenir sportif rejiche,2024,/yaakoub-tej/profil/spieler/1106717,1106717,10,janv.,2003
Mohamed Houssem Slimène,Défenseur central,21 oct. 1988 (36),,"1,87m",Tunisie,avenir sportif rejiche,2024,/mohamed-houssem-slimene/profil/spieler/132246,132246,21,oct.,1988
Hassen Rabii Fekih,Défenseur central,7 mai 1996 (28),right,,Tunisie,avenir sportif rejiche,2024,/hassen-rabii-fekih/profil/spieler/575012,575012,7,mai,1996
Wael Sammoud,Arrière gauche,22 mars 1990 (34),,,Tunisie,avenir sportif rejiche,2024,/wael-sammoud/profil/spieler/293164,293164,22,mars,1990
Ghassen Mbarek,Milieu,2 janv. 2000 (25),,,Tunisie,avenir sportif rejiche,2024,/ghassen-mbarek/profil/spieler/1106718,1106718,2,janv.,2000
Yahia Hassen,Milieu,- (-),,,Tunisie,avenir sportif rejiche,2024,/yahia-hassen/profil/spieler/1111789,1111789,,,
Rayane Hajri,Milieu central,- (-),right,"1,71m",Tunisie,avenir sportif rejiche,2024,/rayane-hajri/profil/spieler/1111790,1111790,,,
Hazem Lamti,Milieu central,18 oct. 1998 (26),,,Tunisie,avenir sportif rejiche,2024,/hazem-lamti/profil/spieler/852716,852716,18,oct.,1998
Fedi Ghaoui,Milieu gauche,27 févr. 1995 (29),left,,Tunisie,avenir sportif rejiche,2024,/fedi-ghaoui/profil/spieler/570061,570061,27,févr.,1995
Saifeddine Zouari,Milieu offensif,25 juin 1989 (35),left,"1,80m",Tunisie,avenir sportif rejiche,2024,/saifeddine-zouari/profil/spieler/466343,466343,25,juin,1989
Hassene Chaouachi,Ailier gauche,18 sept. 1993 (31),right,"1,82m",Tunisie,avenir sportif rejiche,2024,/hassene-chaouachi/profil/spieler/230922,230922,18,sept.,1993
Seifeddine Griia,Attaquant,- (-),,,Tunisie,avenir sportif rejiche,2024,/seifeddine-griia/profil/spieler/1111791,1111791,,,
Sadek Touati,Milieu,- (-),,,Tunisie,olympique du kef,2024,/sadek-touati/profil/spieler/252971,252971,,,
Najmeddine Hammami,Milieu défensif,- (-),right,"1,82m",Tunisie,olympique du kef,2024,/najmeddine-hammami/profil/spieler/1110968,1110968,,,
Seif Krir,Milieu central,- (-),,,Tunisie,olympique du kef,2024,/seif-krir/profil/spieler/648817,648817,,,
